epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,26854.4,0.79709,0.55006,0.92395,0.8571,0.77975,0.87728,0.67002,0.67633,0.44096,0.88571,0.009307,0.009307,0.009307
72,27236.9,0.79752,0.55252,0.92437,0.84064,0.79518,0.87915,0.67294,0.67433,0.43849,0.88439,0.0092971,0.0092971,0.0092971
73,27619.8,0.78946,0.54363,0.9194,0.83542,0.79345,0.87874,0.67271,0.67603,0.439,0.88573,0.0092872,0.0092872,0.0092872
74,28002.4,0.7958,0.54844,0.92286,0.82976,0.80312,0.87829,0.67278,0.67343,0.43872,0.88504,0.0092773,0.0092773,0.0092773
75,28385,0.78278,0.53733,0.91801,0.83047,0.81038,0.87972,0.67335,0.67115,0.43684,0.88448,0.0092674,0.0092674,0.0092674
76,28767.1,0.78609,0.54152,0.92124,0.82657,0.80454,0.88062,0.67509,0.6694,0.43484,0.88356,0.0092575,0.0092575,0.0092575
77,29149.2,0.78246,0.53556,0.91738,0.84794,0.79197,0.88232,0.67507,0.66793,0.4337,0.88252,0.0092476,0.0092476,0.0092476
78,29531.2,0.78377,0.53669,0.91942,0.85622,0.79533,0.88305,0.67716,0.66548,0.43129,0.88176,0.0092377,0.0092377,0.0092377
79,29914.2,0.7766,0.53018,0.91527,0.85187,0.80544,0.88534,0.68028,0.66522,0.42944,0.88156,0.0092278,0.0092278,0.0092278
80,30297.3,0.77684,0.52822,0.91573,0.85277,0.80232,0.8865,0.68151,0.66403,0.42737,0.88098,0.0092179,0.0092179,0.0092179
81,30679.6,0.7735,0.53096,0.91304,0.84362,0.8083,0.88702,0.6833,0.66282,0.42714,0.88037,0.009208,0.009208,0.009208
82,31061.9,0.77611,0.53037,0.9156,0.85157,0.80564,0.88872,0.6833,0.6607,0.42481,0.87984,0.0091981,0.0091981,0.0091981
83,31444.4,0.77332,0.52872,0.91471,0.84356,0.81181,0.88686,0.68381,0.65916,0.42372,0.87935,0.0091882,0.0091882,0.0091882
84,31827.2,0.76496,0.52173,0.90975,0.84915,0.81364,0.88697,0.68376,0.65823,0.42306,0.87865,0.0091783,0.0091783,0.0091783
85,32209.8,0.77263,0.52609,0.91367,0.85193,0.81226,0.88775,0.68423,0.65661,0.42116,0.87792,0.0091684,0.0091684,0.0091684
86,32596,0.7657,0.52453,0.91204,0.84962,0.81183,0.88859,0.68558,0.65522,0.4206,0.87766,0.0091585,0.0091585,0.0091585
