epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,24213,0.67862,0.43304,0.86768,0.88865,0.85033,0.92271,0.72976,0.61137,0.37409,0.83586,0.003466,0.003466,0.003466
68,24572.1,0.6684,0.42562,0.86581,0.88487,0.85348,0.92503,0.73554,0.60862,0.37049,0.83496,0.003367,0.003367,0.003367
69,24931.2,0.66901,0.43019,0.86398,0.89062,0.85569,0.92557,0.73763,0.60779,0.36972,0.83435,0.003268,0.003268,0.003268
70,25298.4,0.66434,0.42522,0.86558,0.89384,0.85885,0.9272,0.73931,0.60327,0.36679,0.83272,0.003169,0.003169,0.003169
71,25657.2,0.66178,0.41871,0.86286,0.89058,0.86071,0.92743,0.741,0.59893,0.36352,0.83192,0.00307,0.00307,0.00307
72,26015.9,0.65694,0.41523,0.86179,0.89822,0.8567,0.92755,0.74247,0.5972,0.36095,0.83176,0.002971,0.002971,0.002971
73,26374.6,0.65424,0.41363,0.8625,0.89423,0.86032,0.9283,0.74539,0.59324,0.35976,0.82987,0.002872,0.002872,0.002872
74,26733.6,0.65574,0.41106,0.86033,0.90541,0.84795,0.92869,0.74588,0.59239,0.35867,0.82985,0.002773,0.002773,0.002773
75,27092.3,0.6541,0.41038,0.86147,0.90456,0.85206,0.93069,0.74676,0.58989,0.35497,0.82863,0.002674,0.002674,0.002674
76,27450.8,0.6485,0.40753,0.86025,0.91138,0.85371,0.93062,0.74919,0.58731,0.35197,0.82794,0.002575,0.002575,0.002575
77,27809.5,0.64267,0.40597,0.85871,0.91676,0.85144,0.93035,0.74987,0.586,0.35131,0.82848,0.002476,0.002476,0.002476
78,28168.1,0.63991,0.40267,0.85593,0.90629,0.8626,0.93153,0.75195,0.58397,0.3482,0.82786,0.002377,0.002377,0.002377
79,28532.4,0.63998,0.3996,0.85617,0.91078,0.86139,0.93322,0.75532,0.5818,0.3462,0.82707,0.002278,0.002278,0.002278
80,28898.3,0.62716,0.39058,0.85329,0.91317,0.85897,0.9327,0.75738,0.57934,0.34408,0.82635,0.002179,0.002179,0.002179
81,29257.6,0.62725,0.38983,0.85317,0.90935,0.86686,0.93498,0.7584,0.57752,0.3426,0.82574,0.00208,0.00208,0.00208
82,29616.7,0.62734,0.39112,0.855,0.92182,0.86016,0.93597,0.75915,0.57654,0.34156,0.82558,0.001981,0.001981,0.001981
83,29975.8,0.6263,0.38793,0.85349,0.91512,0.86618,0.93637,0.7603,0.57555,0.34046,0.82505,0.001882,0.001882,0.001882
84,30334.8,0.62187,0.38602,0.85307,0.91691,0.86541,0.93743,0.76149,0.57372,0.33908,0.82425,0.001783,0.001783,0.001783
85,30693.8,0.61302,0.37859,0.84872,0.91531,0.87172,0.93827,0.76367,0.57205,0.33796,0.82342,0.001684,0.001684,0.001684
86,31052.6,0.61301,0.3789,0.84937,0.91658,0.871,0.93838,0.76556,0.57089,0.33666,0.82281,0.001585,0.001585,0.001585
87,31421.7,0.60673,0.37612,0.84919,0.91465,0.87161,0.93953,0.76655,0.56869,0.33535,0.82198,0.001486,0.001486,0.001486
88,31782.1,0.60768,0.37316,0.84901,0.9174,0.87062,0.94133,0.76711,0.56703,0.33393,0.82164,0.001387,0.001387,0.001387
89,32141.2,0.60202,0.36905,0.84768,0.92231,0.87036,0.94247,0.76913,0.56544,0.33218,0.82142,0.001288,0.001288,0.001288
90,32499.7,0.598,0.36982,0.84711,0.92109,0.8724,0.94279,0.76963,0.56387,0.33083,0.82106,0.001189,0.001189,0.001189
91,32875.4,0.57178,0.3351,0.83019,0.92273,0.87262,0.94299,0.77028,0.56342,0.32984,0.82098,0.00109,0.00109,0.00109
92,33237.3,0.56412,0.33242,0.82969,0.91849,0.87776,0.94369,0.77105,0.562,0.32821,0.82066,0.000991,0.000991,0.000991
93,33598.7,0.55844,0.3258,0.82654,0.9189,0.87729,0.94408,0.77214,0.56092,0.32706,0.8202,0.000892,0.000892,0.000892
94,33956.9,0.55173,0.32262,0.82592,0.91989,0.87821,0.94444,0.77334,0.55938,0.32632,0.81975,0.000793,0.000793,0.000793
95,34317.9,0.55394,0.32066,0.82562,0.9224,0.87978,0.94528,0.77461,0.55825,0.32545,0.81933,0.000694,0.000694,0.000694
96,34676.2,0.54709,0.31863,0.82297,0.92534,0.87849,0.94608,0.77575,0.5568,0.32482,0.81866,0.000595,0.000595,0.000595
97,35033.9,0.54437,0.31708,0.82416,0.92522,0.87695,0.94529,0.77588,0.55558,0.32404,0.81829,0.000496,0.000496,0.000496
98,35391.8,0.53869,0.31476,0.82313,0.92589,0.87891,0.9464,0.77692,0.55459,0.32343,0.81803,0.000397,0.000397,0.000397
99,35749.7,0.53749,0.31147,0.82208,0.93277,0.87208,0.9471,0.77725,0.55356,0.3227,0.81771,0.000298,0.000298,0.000298
100,36108.2,0.53252,0.30862,0.82292,0.93498,0.87131,0.94701,0.77816,0.5528,0.3223,0.8175,0.000199,0.000199,0.000199


